timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,_tf
1776950400000,0.09654,0.0966,0.09653,0.09657,516183.0,1776950699999,49848.42687000,778,452729.00000000,43720.36457000,0,5m
1776950700000,0.09657,0.09659,0.09644,0.09644,462577.0,1776950999999,44651.18253000,727,182890.00000000,17654.63507000,0,5m
1776951000000,0.09644,0.09653,0.0963,0.09635,2620644.0,1776951299999,252660.61773000,2572,1255063.00000000,121023.19811000,0,5m
1776951300000,0.09635,0.09637,0.09616,0.09619,8560049.0,1776951599999,823810.26564000,2423,5103703.00000000,491174.73325000,0,5m
1776951600000,0.0962,0.0962,0.09603,0.09605,5205505.0,1776951899999,500350.85984000,2201,2045220.00000000,196626.25413000,0,5m
1776951900000,0.09604,0.09641,0.09586,0.09632,8233375.0,1776952199999,792162.44465000,4620,3507950.00000000,337403.94451000,0,5m
1776952200000,0.09631,0.09632,0.09607,0.09612,2024915.0,1776952499999,194737.20264000,1723,794758.00000000,76431.07935000,0,5m
1776952500000,0.09611,0.09628,0.09611,0.09622,2007564.0,1776952799999,193118.79294000,1259,797724.00000000,76732.54404000,0,5m
1776952800000,0.09622,0.09641,0.09603,0.09637,2177494.0,1776953099999,209473.67424000,2481,797087.00000000,76687.44321000,0,5m
1776953100000,0.09637,0.09641,0.09621,0.09641,949747.0,1776953399999,91471.71418000,2007,617216.00000000,59449.58238000,0,5m
1776953400000,0.09641,0.09644,0.09631,0.09635,654538.0,1776953699999,63076.90557000,1734,350111.00000000,33742.32986000,0,5m
1776953700000,0.09635,0.09648,0.09633,0.09633,1087986.0,1776953999999,104910.73859000,1531,782199.00000000,75425.07685000,0,5m
1776954000000,0.09634,0.0966,0.09632,0.09658,1101934.0,1776954299999,106299.49256000,1725,749719.00000000,72325.98053000,0,5m
1776954300000,0.09657,0.09686,0.09652,0.09663,4474473.0,1776954599999,432542.71193000,3616,2388104.00000000,230846.76054000,0,5m
1776954600000,0.09663,0.09682,0.09663,0.09672,3221899.0,1776954899999,311712.73782000,1859,652790.00000000,63135.17654000,0,5m
1776954900000,0.09672,0.09688,0.09658,0.09664,2396071.0,1776955199999,231794.65272000,2332,817855.00000000,79127.40977000,0,5m
1776955200000,0.09665,0.09671,0.09656,0.09669,1063030.0,1776955499999,102722.33535000,1441,659419.00000000,63722.57871000,0,5m
1776955500000,0.09669,0.09682,0.09666,0.09668,2900734.0,1776955799999,280648.91736000,1940,1430792.00000000,138426.82947000,0,5m
1776955800000,0.09668,0.09687,0.09666,0.09685,973841.0,1776956099999,94263.09079000,1184,859072.00000000,83155.89214000,0,5m
1776956100000,0.09685,0.09712,0.09683,0.09708,8278232.0,1776956399999,803210.03171000,3671,4102658.00000000,397985.28462000,0,5m
1776956400000,0.09708,0.09721,0.09699,0.09703,7499850.0,1776956699999,728546.59508000,3125,2741028.00000000,266279.41609000,0,5m
1776956700000,0.09703,0.09722,0.09703,0.0971,2607062.0,1776956999999,253177.25981000,2036,1498174.00000000,145474.47825000,0,5m
1776957000000,0.0971,0.09719,0.09706,0.09713,3716421.0,1776957299999,360902.05351000,1669,2436892.00000000,236645.50482000,0,5m
1776957300000,0.09713,0.0979,0.09708,0.09776,21959069.0,1776957599999,2144167.83198000,8218,12413959.00000000,1211422.59214000,0,5m
1776957600000,0.09776,0.09802,0.09775,0.09778,14135641.0,1776957899999,1383171.17450000,4449,9043385.00000000,884940.32971000,0,5m
1776957900000,0.09778,0.09792,0.09738,0.09739,11997432.0,1776958199999,1171671.07466000,3140,3994951.00000000,390294.68029000,0,5m
1776958200000,0.09738,0.09786,0.09735,0.09775,10050615.0,1776958499999,981543.11435000,3820,7086209.00000000,691995.36051000,0,5m
1776958500000,0.09774,0.09802,0.09761,0.09802,13811204.0,1776958799999,1350798.89802000,4341,8119911.00000000,794502.97052000,0,5m
1776958800000,0.09802,0.09803,0.09742,0.09756,28161420.0,1776959099999,2749362.34581000,5945,10432971.00000000,1018448.94284000,0,5m
1776959100000,0.09756,0.09758,0.0973,0.09755,7157458.0,1776959399999,697344.34905000,3852,3028031.00000000,295076.66590000,0,5m
1776959400000,0.09754,0.09757,0.09721,0.09725,5193080.0,1776959699999,505767.22524000,3252,2434461.00000000,237071.81026000,0,5m
1776959700000,0.09724,0.09739,0.09719,0.09738,4966613.0,1776959999999,483188.02497000,2422,2158934.00000000,210066.28918000,0,5m
1776960000000,0.09737,0.09745,0.09715,0.09716,2913994.0,1776960299999,283568.07462000,2449,1647807.00000000,160403.14666000,0,5m
1776960300000,0.09717,0.0974,0.0971,0.0973,2395291.0,1776960599999,232838.41208000,2419,963917.00000000,93747.31009000,0,5m
1776960600000,0.0973,0.09739,0.09718,0.0972,976969.0,1776960899999,95051.35948000,1450,630239.00000000,61316.41113000,0,5m
1776960900000,0.0972,0.09725,0.09715,0.09725,1424631.0,1776961199999,138476.30832000,1432,897753.00000000,87265.94361000,0,5m
1776961200000,0.09724,0.09726,0.09694,0.09712,2330207.0,1776961499999,226181.12878000,2286,1381622.00000000,134103.68291000,0,5m
1776961500000,0.09713,0.09717,0.09698,0.09699,2270920.0,1776961799999,220519.09002000,1512,1340134.00000000,130139.07142000,0,5m
1776961800000,0.09698,0.09723,0.09694,0.09721,1941674.0,1776962099999,188493.24066000,1753,1499388.00000000,145541.55034000,0,5m
1776962100000,0.0972,0.09727,0.09707,0.09709,2117008.0,1776962399999,205746.80720000,2069,938306.00000000,91189.03462000,0,5m
1776962400000,0.09709,0.09722,0.09708,0.09715,1194267.0,1776962699999,116025.61158000,1800,713479.00000000,69315.34660000,0,5m
1776962700000,0.09715,0.0972,0.0971,0.09711,1779958.0,1776962999999,172925.28056000,1106,711269.00000000,69104.70732000,0,5m
1776963000000,0.09711,0.09729,0.09696,0.09697,5647339.0,1776963299999,548420.31392000,2341,1303554.00000000,126640.51108000,0,5m
